"section","Frequency rank","Occurrences","absolut alphabetic order","Lexeme in lexicon","Vocalized lexeme","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","Part of speech","Verbal stems","Current EN glosses","Current PT glosses","Vocalized lexeme as in Mitchel (print edition)","Vocalized lexeme as in Mitchel (Logos version)","Mitchel Section","Rational for change","Mitchel non-verb gloss EN","Mitchel non-verb gloss PT","New glosses (verbs:prioritized displayed meaning of verbs) without excel formula (ready for export) EN","New glosses (verbs:prioritized displayed meaning of verbs) without excel formula (ready for export) PT","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula EN","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula PT","meaning fixed","Qal=1 EN","Qal=1 PT","Nifal=2 EN","Nifal=2 PT","Piel=3 EN","Piel=3 PT","Pual=4 EN","Pual=4 PT","Hitpael=5 EN","Hitpael=5 PT","Hifil=6 EN","Hifil=6 PT","Hofal=7 EN","Hofal=7 PT","Hishtafal=8 EN","Hishtafal=8 PT","Passive qal EN","Passive qal PT","Hotpaal","Etpaal","Nitpael","Tifal"
,6556,1,2573,"XYWR_XDTH/","חָצֹור חֲדַתָּה",,,,,"nmpr",,"Hazor Hadattah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6557,1,2577,"XYJ_HMNXWT/","חֲצִי הַמְּנֻחֹות",,,,,"nmpr",,"half the Manahathites",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6558,1,2580,"XYJR=/","חָצִיר",,,,,"subs",,"leek",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6559,1,2588,"XYR_>DR/","חֲצַר אַדָּר",,,,,"nmpr",,"Hazar Addar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6560,1,2589,"XYR_GDH/","חֲצַר גַּדָּה",,,,,"nmpr",,"Hazar Gaddah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6561,1,2590,"XYR_SWSH/","חֲצַר סוּסָה",,,,,"nmpr",,"Hazar Susah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6562,1,2591,"XYR_SWSJM/","חֲצַר סוּסִים",,,,,"nmpr",,"Hazar Susim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6563,1,2592,"XYR_<JNWN/","חֲצַר עֵינֹון",,,,,"nmpr",,"Hazar Enan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6564,1,2595,"XYRW/","חֶצְרֹו",,,,,"nmpr",,"Hezro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6565,1,2600,"XYRJ/","חֶצְרַי",,,,,"nmpr",,"Hezro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6566,1,2607,"XQQ/","חֻקֹּק",,,,,"nmpr",,"Hukkok",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6567,1,2622,"XRBWN/","חֲרָבֹון",,,,,"subs",,"dry heat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6568,1,2623,"XRBWN>/","חַרְבֹונָא",,,,,"nmpr",,"Harbona",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6569,1,2624,"XRBWNH/","חַרְבֹונָה",,,,,"nmpr",,"Harbona",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6570,1,2625,"XRG[","חרג","i-guttural","ii-guttural",,,"verb","qal","come out",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6571,1,2626,"XRGL/","חַרְגֹּל",,,,,"subs",,"locust",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6572,1,2633,"XRH=[","חרה",,"ii-guttural","iii-hey",,"verb","qal","diminish in number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6573,1,2634,"XRHJH/","חַרְהֲיָה",,,,,"nmpr",,"Harhaiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6574,1,2635,"XRWZJM/","חֲרוּזִים",,,,,"subs",,"necklace",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6575,1,2637,"XRWMP/","חֲרוּמַף",,,,,"nmpr",,"Harumaph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6576,1,2640,"XRWPJ/","חֲרוּפִי",,,,,"adjv",,"Haruphite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6577,1,2644,"XRWY===/","חָרוּץ",,,,,"subs",,"moat, channel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6578,1,2645,"XRWY=/","חָרוּץ",,,,,"adjv",,"cut, mutilated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6579,1,2646,"XRWY=====/","חָרוּץ",,,,,"nmpr",,"Haruz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6580,1,2647,"XRXS/","חַרְחַס",,,,,"nmpr",,"Harhas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6581,1,2649,"XRXR/","חַרְחֻר",,,,,"subs",,"fever, burning of fever",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6582,1,2655,"XRJ==/","חֹרִי",,,,,"subs",,"white bread",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6583,1,2659,"XRJY=/","חָרִיץ",,,,,"subs",,"slice, portion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6584,1,2661,"XRJCJ/","חֲרִישִׁי",,,,,"adjv",,"sharp, parching",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6585,1,2662,"XRK[","חרך","i-guttural","ii-guttural",,,"verb","qal","roast?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6586,1,2663,"XRKJM/","חֲרַכִּים",,,,,"subs",,"lattice",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6587,1,2666,"XRM===/","חֳרֵם",,,,,"nmpr",,"Horem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6588,1,2672,"XRMWNJM/","חֶרְמֹונִים",,,,,"subs",,"peaks of Hermon?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6589,1,2677,"XRNPR/","חַרְנֶפֶר",,,,,"nmpr",,"Harnepher",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6590,1,2679,"XRS/","חֶרֶס",,,,,"subs",,"scabies, itch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6591,1,2680,"XRSJT/","חַרְסִית",,,,,"subs",,"potsherd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6592,1,2683,"XRP==[","חרף",,"ii-guttural",,,"verb","piel","confuse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6593,1,2684,"XRP==/","חָרֵף",,,,,"nmpr",,"Hareph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6594,1,2686,"XRP=/","חֹרֶף",,,,,"subs",,"youth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6595,1,2689,"XRY=[","חרץ",,"ii-guttural",,,"verb","qal","be eager",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6596,1,2691,"XRYN/","חַרְצָן",,,,,"subs",,"sour grape",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6597,1,2694,"XRR=[","חרר",,"ii-guttural",,,"verb","nif","be hoarse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6598,1,2695,"XRRJM/","חֲרֵרִים",,,,,"subs",,"lava-covered stretches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6599,1,2700,"XRC===/","חֶרֶשׁ",,,,,"subs",,"silence; secretly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6600,1,2701,"XRC=====/","חֶרֶשׁ",,,,,"subs",,"magic?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6601,1,2702,"XRC======/","חֶרֶשׁ",,,,,"nmpr",,"Heresh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6602,1,2710,"XRT[","חרת","i-guttural","ii-guttural",,,"verb","qal","engrave",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6603,1,2711,"XRT/","חֶרֶת",,,,,"nmpr",,"Hereth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6604,1,2714,"XCBDNH/","חַשְׁבַּדָּנָה",,,,,"nmpr",,"Hashbaddanah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6605,1,2715,"XCBH/","חֲשֻׁבָה",,,,,"nmpr",,"Hashubah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6606,1,2721,"XCBNH/","חֲשַׁבְנָה",,,,,"nmpr",,"Hashabnah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6607,1,2726,"XFWPJ/","חֲשׂוּפַי",,,,,"subs",,"<uncertain>",,,,,,,,"(uncertain)",,"(uncertain)",,,,,,,,,,,,,,,,,,,,,,,,
,6608,1,2730,"XCK=/","חָשֹׁךְ",,,,,"adjv",,"dark, low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6609,1,2733,"XCL[","חשׁל","i-guttural",,,,"verb","nif","lie behind; straggler",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6610,1,2735,"XCM=/","חֻשִׁם",,,,,"nmpr",,"Hushites",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6611,1,2737,"XCMWN/","חֶשְׁמֹון",,,,,"nmpr",,"Heshmon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6612,1,2740,"XCMNJM/","חַשְׁמַנִּים",,,,,"subs",,"bronzeware?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6613,1,2743,"XFP=[","חשׂף",,,,"regular","verb","qal","accelerate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6614,1,2744,"XFP/","חָשִׂף",,,,,"subs",,"handful",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6615,1,2746,"XCQ=/","חִשֻּׁק",,,,,"subs",,"spoke of a wheel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6616,1,2748,"XCR/","חִשֻּׁר",,,,,"subs",,"nave, hub of a wheel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6617,1,2749,"XCRH/","חַשְׁרָה",,,,,"subs",,"sieve",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6618,1,2756,"XTH=[","חתה",,,"iii-hey",,"verb","qal","knock down",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6619,1,2757,"XTH/","חִתָּה",,,,,"subs",,"terror",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6620,1,2758,"XTWL/","חִתּוּל",,,,,"subs",,"bandage, splint",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6621,1,2759,"XTXTJM/","חַתְחַתִּים",,,,,"subs",,"terror",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6622,1,2762,"XTK[","חתך","i-guttural",,,,"verb","nif","be determined",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6623,1,2764,"XTLH/","חֲתֻלָּה",,,,,"subs",,"swaddling-band",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6624,1,2767,"XTMT/","חֹתֶמֶת",,,,,"subs",,"signet-ring",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6625,1,2770,"XTNH/","חֲתֻנָּה",,,,,"subs",,"wedding, marriage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6626,1,2771,"XTP[","חתף","i-guttural",,,,"verb","qal","snatch away",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6627,1,2772,"XTP/","חֶתֶף",,,,,"subs",,"robber",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6628,1,2775,"XTT/","חֲתַת",,,,,"subs",,"terror",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6629,1,2776,"XTT=/","חֲתַת",,,,,"nmpr",,"Hathath",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6630,1,2777,"V>V>[","טאטא",,,,"4 root verb","verb","piel","sweep",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6631,1,2779,"VBWLJM/","טְבוּלִים",,,,,"subs",,"turban",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6632,1,2783,"VBX==/","טֶבַח",,,,,"nmpr",,"Tebah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6633,1,2786,"VBXH=/","טַבָּחָה",,,,,"subs",,"female cook",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6634,1,2787,"VBXT/","טִבְחַת",,,,,"nmpr",,"Tibhath",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6635,1,2789,"VBLJHW/","טְבַלְיָהוּ",,,,,"nmpr",,"Tabaliah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6636,1,2793,"VBRMN/","טַבְרִמֹּן",,,,,"nmpr",,"Tabrimmon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6637,1,2794,"VBT=/","טֵבֵת",,,,,"nmpr",,"Tebeth <month>",,,,,,,,"Tebeth (month)",,"Tebeth (month)",,,,,,,,,,,,,,,,,,,,,,,,
,6638,1,2795,"VBT/","טַבָּת",,,,,"nmpr",,"Tabbath",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6639,1,2805,"VWB_>DNJH/","טֹוב אֲדֹנִיָּה",,,,,"nmpr",,"Tob-Adonijah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6640,1,2808,"VWBJHW/","טֹובִיָּהוּ",,,,,"nmpr",,"Tobijah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6641,1,2814,"VWF[","טושׂ",,,,"ii-waw","verb","qal","flutter to and fro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6642,1,2815,"VXH[","טחה",,"ii-guttural","iii-hey",,"verb","piel","shoot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6643,1,2816,"VXWN/","טְחֹון",,,,,"subs",,"hand-mill",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6644,1,2818,"VXX[","טחח",,"ii-guttural",,"geminate","verb","qal","be besmeared",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6645,1,2820,"VXNH/","טַחֲנָה",,,,,"subs",,"mill",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6646,1,2821,"VXNWT/","טֹחֲנֹות",,,,,"subs",,"molar teeth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6647,1,2823,"VJX/","טִיחַ",,,,,"subs",,"coating",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6648,1,2828,"VL>JM/","טְלָאִים",,,,,"nmpr",,"Telaim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6649,1,2830,"VLVLH/","טַלְטֵלָה",,,,,"subs",,"hurling",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6650,1,2831,"VLJ/","טְלִי",,,,,"subs",,"lamb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6651,1,2832,"VLL[","טלל",,,,"geminate","verb","piel","cover over, roof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6652,1,2833,"VLM=/","טֶלֶם",,,,,"nmpr",,"Telem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6653,1,2834,"VLM/","טֶלֶם",,,,,"nmpr",,"Telem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6654,1,2839,"VMH[","טמה",,,"iii-hey",,"verb","nif","be regarded as unclean?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6655,1,2842,"VNP[","טנף",,,,"regular","verb","piel","soil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6656,1,2843,"V<H[","טעה",,"ii-guttural","iii-hey",,"verb","hif","lead astray",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6657,1,2846,"V<N=[","טען",,"ii-guttural",,,"verb","pual","be pierced",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6658,1,2847,"V<N[","טען",,"ii-guttural",,,"verb","qal","load",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6659,1,2849,"VPX=[","טפח",,,"iii-guttural",,"verb","piel","give birth to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6660,1,2850,"VPX[","טפח",,,"iii-guttural",,"verb","piel","spread out",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6661,1,2854,"VPXJM/","טִפֻּחִים",,,,,"subs",,"children?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6662,1,2857,"VPP[","טפף",,,,"geminate","verb","qal","trip along",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6663,1,2858,"VPC[","טפשׁ",,,,"regular","verb","qal","be unfeeling, be gross",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6664,1,2859,"VPT/","טָפַת",,,,,"nmpr",,"Taphath",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6665,1,2861,"VRX[","טרח",,"ii-guttural","iii-guttural",,"verb","hif","burden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6666,1,2870,"J>B[","יאב","i-waw","ii-guttural",,,"verb","qal","long",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6667,1,2871,"J>H[","יאה","i-waw","ii-guttural","iii-hey",,"verb","qal","be fitting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6668,1,2875,"J>JRJ/","יָאִירִי",,,,,"adjv",,"Jairite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6669,1,2881,"J>CJH/","יֹאשִׁיָּה",,,,,"nmpr",,"Josiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6670,1,2883,"J>TRJ/","יְאָתְרַי",,,,,"nmpr",,"Jeatherai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6671,1,2884,"JBB[","יבב","i-waw",,,"geminate","verb","piel","lament",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6672,1,2892,"JBL=/","יָבָל",,,,,"nmpr",,"Jabal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6673,1,2894,"JBLT/","יַבֶּלֶת",,,,,"subs",,"wart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6674,1,2900,"JBNH/","יַבְנֵה",,,,,"nmpr",,"Jabneh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6675,1,2901,"JBNJH/","יִבְנְיָה",,,,,"nmpr",,"Ibneiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6676,1,2902,"JBNJH=/","יִבְנִיָּה",,,,,"nmpr",,"Ibnijah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6677,1,2904,"JBRKJHW/","יְבֶרֶכְיָהוּ",,,,,"nmpr",,"Jeberekiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6678,1,2910,"JBFM/","יִבְשָׂם",,,,,"nmpr",,"Ibsam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6679,1,2914,"JGB/","יָגֵב",,,,,"subs",,"compulsory labour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6680,1,2916,"JGDLJHW/","יִגְדַּלְיָהוּ",,,,,"nmpr",,"Igdaliah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6681,1,2918,"JGH=[","יגה","i-waw",,"iii-hey",,"verb","hif","remove",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6682,1,2920,"JGWR=/","יָגוּר",,,,,"nmpr",,"Jagur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6683,1,2923,"JGJ<=/","יָגִיעַ",,,,,"adjv",,"weary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6684,1,2924,"JGLJ/","יָגְלִי",,,,,"nmpr",,"Jogli",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6685,1,2927,"JG<=/","יָגָע",,,,,"subs",,"product",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6686,1,2928,"JG<H/","יְגִעָה",,,,,"subs",,"wearying",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6687,1,2931,"JD>LH/","יִדְאֲלָה",,,,,"nmpr",,"Idalah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6688,1,2932,"JDBC/","יִדְבָּשׁ",,,,,"nmpr",,"Idbash",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6689,1,2934,"JDDWT/","יְדִדוּת",,,,,"subs",,"beloved one",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6690,1,2937,"JDW/","יִדֹּו",,,,,"nmpr",,"Iddo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6691,1,2938,"JDWN/","יָדֹון",,,,,"nmpr",,"Jadon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6692,1,2942,"JDJ/","יַדַּי",,,,,"nmpr",,"Jaddai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6693,1,2944,"JDJDH/","יְדִידָה",,,,,"nmpr",,"Jedidah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6694,1,2945,"JDJDJH/","יְדִידְיָהּ",,,,,"nmpr",,"Jedidiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6695,1,2946,"JDJDT/","יְדִידֹת",,,,,"subs",,"love",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6696,1,2949,"JDLP/","יִדְלָף",,,,,"nmpr",,"Jidlaph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6697,1,2956,"JHB/","יְהָב",,,,,"subs",,"<uncertain>",,,,,,,,"(uncertain)",,"(uncertain)",,,,,,,,,,,,,,,,,,,,,,,,
,6698,1,2957,"JHD[","יהד","i-waw","ii-guttural",,,"verb","hit","declare oneselves Jews",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6699,1,2958,"JHDJ/","יָהְדָּי",,,,,"nmpr",,"Jahdai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6700,1,2962,"JHWD/","יְהוּד",,,,,"nmpr",,"Jehud",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6701,1,2966,"JHWDJT/","יְהוּדִית",,,,,"nmpr",,"Judith",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6702,1,2974,"JHWKL/","יְהוּכַל",,,,,"nmpr",,"Jehucal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6703,1,2977,"JHWSP/","יְהֹוסֵף",,,,,"nmpr",,"Joseph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6704,1,2982,"JHWCB</","יְהֹושֶׁבַע",,,,,"nmpr",,"Jehosheba",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6705,1,2996,"JWB/","יֹוב",,,,,"nmpr",,"Jashub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6706,1,2999,"JWBL=/","יוּבַל",,,,,"subs",,"canal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6707,1,3000,"JWBL==/","יוּבָל",,,,,"nmpr",,"Jubal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6708,1,3007,"JWJKJN/","יֹויָכִין",,,,,"nmpr",,"Jehoiachin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6709,1,3011,"JWKL/","יוּכַל",,,,,"nmpr",,"Jehucal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6710,1,3019,"JWNJ/","יְוָנִי",,,,,"adjv",,"Greek",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6711,1,3020,"JWNQ/","יֹונֵק",,,,,"subs",,"suckling; shoot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6712,1,3024,"JWSPJH/","יֹוסִפְיָה",,,,,"nmpr",,"Josiphiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6713,1,3025,"JW<>LH/","יֹועֵאלָה",,,,,"nmpr",,"Joelah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6714,1,3026,"JW<D/","יֹועֵד",,,,,"nmpr",,"Joed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6715,1,3027,"JW<ZR/","יֹועֶזֶר",,,,,"nmpr",,"Joezer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6716,1,3029,"JWY>T/","יֹוצֵאת",,,,,"subs",,"abortion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6717,1,3032,"JWQJM/","יֹוקִים",,,,,"nmpr",,"Jokim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6718,1,3034,"JWRH=/","יֹורָה",,,,,"nmpr",,"Jorah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6719,1,3035,"JWRJ/","יֹורַי",,,,,"nmpr",,"Jorai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6720,1,3037,"JWCB_XSD/","יוּשַׁב חֶסֶד",,,,,"nmpr",,"Jushab-Hesed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6721,1,3038,"JWCBJH/","יֹושִׁבְיָה",,,,,"nmpr",,"Joshibiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6722,1,3039,"JWCH/","יֹושָׁה",,,,,"nmpr",,"Joshah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6723,1,3040,"JWCWJH/","יֹושַׁוְיָה",,,,,"nmpr",,"Joshaviah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6724,1,3044,"JZJ>L/","יְזִיאֵל",,,,,"nmpr",,"Jeziel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6725,1,3045,"JZJH/","יִזִּיָּה",,,,,"nmpr",,"Izziah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6726,1,3046,"JZJZ/","יָזִיז",,,,,"nmpr",,"Jaziz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6727,1,3047,"JZLJ>H/","יִזְלִיאָה",,,,,"nmpr",,"Izliah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
